customer,region,signup_date,is_active
CUST-0001,West,2024-08-17,true
CUST-0002,South,2023-09-16,true
CUST-0003,South,2023-08-10,true
CUST-0004,North,2023-10-13,false
CUST-0005,South,2023-09-03,true
CUST-0006,North,2023-04-20,true
CUST-0007,West,2024-08-19,true
CUST-0008,South,2024-08-01,true
CUST-0009,North,2024-11-09,false
CUST-0010,North,2024-06-25,true
CUST-0011,East,2023-02-19,true
CUST-0012,West,2023-05-13,true
CUST-0013,North,2023-04-07,true
CUST-0014,West,2024-12-13,false
CUST-0015,North,2023-11-09,false
CUST-0016,North,2024-06-01,false
CUST-0017,North,2023-04-23,true
CUST-0018,North,2023-08-26,false
CUST-0019,South,2023-08-17,true
CUST-0020,South,2024-11-13,true
CUST-0021,West,2024-04-01,false
CUST-0022,East,2023-04-06,false
CUST-0023,North,2023-03-07,false
CUST-0024,East,2023-10-11,false
CUST-0025,West,2023-02-03,true
CUST-0026,South,2023-10-12,false
CUST-0027,West,2023-10-16,true
CUST-0028,South,2024-03-21,true
CUST-0029,East,2023-10-08,true
CUST-0030,South,2023-12-21,true
CUST-0031,South,2024-08-20,true
CUST-0032,West,2023-02-04,true
CUST-0033,East,2023-12-23,false
CUST-0034,East,2024-10-16,false
CUST-0035,South,2023-03-08,false
CUST-0036,North,2024-04-07,true
CUST-0037,North,2023-05-14,false
CUST-0038,South,2023-01-06,false
CUST-0039,East,2023-02-12,true
CUST-0040,West,2024-11-24,true
CUST-0041,South,2023-01-16,false
CUST-0042,East,2023-01-20,true
CUST-0043,North,2024-02-24,false
CUST-0044,East,2023-02-03,false
CUST-0045,East,2023-12-24,true
CUST-0046,South,2024-06-03,true
CUST-0047,West,2023-07-26,true
CUST-0048,West,2023-10-22,false
CUST-0049,West,2023-10-03,true
CUST-0050,North,2023-05-14,true
CUST-0051,East,2024-12-23,true
CUST-0052,West,2024-08-27,true
CUST-0053,North,2023-05-20,true
CUST-0054,West,2023-04-23,true
CUST-0055,West,2024-05-01,false
CUST-0056,East,2023-11-20,true
CUST-0057,South,2024-11-15,false
CUST-0058,South,2024-07-22,false
CUST-0059,South,2024-04-07,false
CUST-0060,South,2024-04-05,true
