transaction_id,transaction_date,customer,product,channel,quantity,revenue
T100001,2025-06-05,CUST-0059,Ember Kettle,email,2,954.84
T100002,2025-04-02,CUST-0037,Aurora Desk Lamp,retail,2,217.24
T100003,2025-04-21,CUST-0009,Cirrus Notebook,email,7,N/A
T100004,2025-07-05,CUST-0037,Basalt Mug,affiliate,5,1303.16
T100005,2025-06-04,CUST-0050,Cirrus Notebook,email,1,1320.01
T100006,2025-08-19,CUST-0006,Ember Kettle,paid_search,5,2217.18
T100007,2025-05-17,CUST-0027,Basalt Mug,paid_search,8,1194.34
T100008,2025-06-05,CUST-0051,Cirrus Notebook,retail,1,2240.65
T100009,2025-06-23,CUST-0045,Aurora Desk Lamp,retail,8,848.23
T100010,2025-01-24,CUST-0002,Delta Backpack,affiliate,8,1687.16
T100011,2025-06-06,CUST-0026,Delta Backpack,retail,1,1470.88
T100012,2025-08-03,CUST-0036,Cirrus Notebook,retail,9,409.28
T100013,2025-12-14,CUST-0015,Aurora Desk Lamp,retail,4,2367.68
T100014,2025-08-27,CUST-0037,Cirrus Notebook,paid_search,5,
T100015,2025-03-23,CUST-0044,Ember Kettle,affiliate,1,2063.77
T100016,2025-07-13,CUST-0014,Delta Backpack,email,8,964.76
T100017,2025-03-04,CUST-0024,Ember Kettle,email,2,
T100018,2025-01-03,CUST-0024,Delta Backpack,affiliate,7,2099.91
T100019,2025-02-04,CUST-0022,Cirrus Notebook,retail,8,2039.26
T100020,2025-08-27,CUST-0045,Ember Kettle,affiliate,1,1664.63
T100021,2025-01-25,CUST-0015,Ember Kettle,email,5,1273.13
T100022,2025-09-25,CUST-0015,Basalt Mug,organic,4,1212.44
T100023,2025-09-16,CUST-0039,Cirrus Notebook,email,1,861.08
T100024,2025-08-26,CUST-0022,Basalt Mug,paid_search,6,2249.61
T100025,2025-08-20,CUST-0006,Aurora Desk Lamp,affiliate,1,2364.77
T100026,2025-07-26,CUST-0006,Delta Backpack,organic,8,1711.05
T100027,2025-08-13,CUST-0058,Delta Backpack,email,3,1787.13
T100028,2025-11-05,CUST-0009,Aurora Desk Lamp,affiliate,8,1472.44
T100029,2025-01-26,CUST-0013,Basalt Mug,email,9,2330.49
T100030,2025-01-09,CUST-0054,Basalt Mug,affiliate,4,520.12
T100031,2025-01-24,CUST-0035,Basalt Mug,retail,9,856.84
